"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)"
"14:31:35:715","52055329512462"," 176.614","  94.630"," 3093"," 3000"," 3100","3100","  59.240","10322.669","2867.408","  55.364","9693.423","2692.618"," 90","0","   3.765"," 635.348"," 176.486","  45.000","  350"
"14:31:35:815","52055560332802"," 176.714","  99.304"," 3093"," 3000"," 3100","3100","  60.410","10328.721","2869.089","  56.652","9699.099","2694.194"," 92","0","   3.909"," 635.740"," 176.594","  45.000","    0"
"14:31:35:915","52055791250006"," 176.814","  98.397"," 3093"," 3000"," 3100","3100","  61.372","10334.872","2870.798","  57.372","9704.849","2695.791"," 92","0","   3.886"," 636.129"," 176.703","  45.000","  350"
"14:31:36:015","52056022113254"," 176.914","  97.911"," 3093"," 3000"," 3100","3100","  61.176","10341.002","2872.501","  57.734","9710.634","2697.398"," 93","0","   3.793"," 636.509"," 176.808","  45.000","    0"
"14:31:36:115","52056252937934"," 177.014","  94.171"," 3093"," 3000"," 3100","3100","  59.339","10346.947","2874.152","  55.529","9716.197","2698.944"," 92","0","   3.873"," 636.897"," 176.916","  45.000","    0"
"14:31:36:216","52056483777292"," 177.115","  98.198"," 3093"," 3000"," 3100","3100","  60.620","10353.021","2875.839","  57.151","9721.923","2700.534"," 93","0","   3.881"," 637.286"," 177.024","  45.000","    0"
"14:31:36:316","52056714420934"," 177.215","  95.806"," 3093"," 3000"," 3100","3100","  59.951","10359.022","2877.506","  56.464","9727.575","2702.104"," 92","0","   3.859"," 637.672"," 177.131","  45.000","    0"
"14:31:36:416","52056945222388"," 177.315","  97.904"," 3093"," 3000"," 3100","3100","  62.200","10365.253","2879.237","  58.322","9733.418","2703.727"," 93","0","   3.893"," 638.062"," 177.240","  45.000","    0"
"14:31:36:516","52057175691632"," 177.415","  96.008"," 3093"," 3000"," 3100","3100","  61.319","10371.387","2880.941","  57.982","9739.218","2705.338"," 93","0","   3.811"," 638.444"," 177.345","  45.000","    0"
"14:31:36:616","52057406225588"," 177.515","  94.778"," 3093"," 3000"," 3100","3100","  60.962","10377.487","2882.635","  57.597","9744.981","2706.939"," 92","0","   3.793"," 638.823"," 177.451","  45.000","    0"
"14:31:36:716","52057636853366"," 177.615","  98.663"," 3093"," 3000"," 3100","3100","  60.733","10383.566","2884.324","  57.455","9750.732","2708.537"," 93","0","   3.776"," 639.201"," 177.556","  45.000","    0"
"14:31:36:816","52057867497136"," 177.715","  98.536"," 3093"," 3000"," 3100","3100","  59.778","10389.550","2885.986","  55.522","9756.290","2710.081"," 92","0","   3.877"," 639.589"," 177.664","  45.000","    0"
"14:31:36:916","52058098180664"," 177.815","  95.062"," 3093"," 3000"," 3100","3100","  60.680","10395.625","2887.674","  57.281","9762.025","2711.674"," 91","0","   3.749"," 639.964"," 177.768","  45.000","  350"
"14:31:37:016","52058328712244"," 177.915","  97.626"," 3093"," 3000"," 3100","3100","  60.129","10401.642","2889.345","  56.452","9767.674","2713.243"," 92","0","   3.833"," 640.348"," 177.874","  45.000","    0"
"14:31:37:116","52058559189934"," 178.015","  97.604"," 3093"," 3000"," 3100","3100","  60.268","10407.671","2891.020","  56.772","9773.353","2714.820"," 92","0","   3.863"," 640.734"," 177.982","  45.000","    0"
"14:31:37:217","52058790127442"," 178.116","  95.803"," 3093"," 3000"," 3100","3100","  59.941","10413.679","2892.689","  56.210","9778.987","2716.385"," 92","0","   3.895"," 641.125"," 178.090","  45.000","  350"
"14:31:37:317","52059020871690"," 178.216","  97.652"," 3093"," 3000"," 3100","3100","  60.287","10419.716","2894.366","  56.946","9784.690","2717.969"," 92","0","   3.870"," 641.512"," 178.198","  45.000","    0"
"14:31:37:417","52059251671554"," 178.316","  94.427"," 3093"," 3000"," 3100","3100","  60.500","10425.777","2896.049","  56.388","9790.338","2719.538"," 91","0","   3.913"," 641.904"," 178.307","  45.000","    0"
"14:31:37:517","52059482347406"," 178.416","  96.926"," 3093"," 3000"," 3100","3100","  60.361","10431.820","2897.728","  56.998","9796.045","2721.124"," 91","0","   3.853"," 642.290"," 178.414","  45.000","    0"
"14:31:37:617","52059713000436"," 178.516","  96.413"," 3093"," 3000"," 3100","3100","  61.250","10437.952","2899.431","  57.750","9801.826","2722.730"," 92","0","   3.891"," 642.680"," 178.522","  45.000","    0"
"14:31:37:717","52059944016146"," 178.617","  99.307"," 3093"," 3000"," 3100","3100","  60.306","10443.999","2901.111","  57.214","9807.563","2724.323"," 92","0","   3.833"," 643.064"," 178.629","  45.000","    0"
"14:31:37:818","52060174785238"," 178.717","  97.991"," 3093"," 3000"," 3100","3100","  59.417","10449.950","2902.764","  55.374","9813.109","2725.864"," 92","0","   3.884"," 643.453"," 178.737","  45.000","    0"
"14:31:37:918","52060405590874"," 178.817","  93.921"," 3093"," 3000"," 3100","3100","  60.866","10456.047","2904.458","  57.634","9818.883","2727.467"," 92","0","   3.815"," 643.835"," 178.843","  45.000","    0"
"14:31:38:018","52060636337392"," 178.917","  98.094"," 3093"," 3000"," 3100","3100","  60.455","10462.102","2906.139","  56.064","9824.498","2729.027"," 92","0","   3.883"," 644.224"," 178.951","  45.000","    0"
"14:31:38:118","52060866858420"," 179.017","  98.015"," 3093"," 3000"," 3100","3100","  60.047","10468.110","2907.808","  55.979","9830.099","2730.583"," 91","0","   3.866"," 644.611"," 179.059","  45.000","    0"
"14:31:38:218","52061097360898"," 179.117","  94.646"," 3093"," 3000"," 3100","3100","  59.095","10474.022","2909.451","  55.209","9835.622","2732.117"," 91","0","   3.884"," 645.000"," 179.167","  45.000","    0"
"14:31:38:318","52061328016490"," 179.217","  93.906"," 3093"," 3000"," 3100","3100","  59.523","10479.981","2911.106","  55.997","9841.228","2733.674"," 91","0","   3.837"," 645.384"," 179.273","  45.000","    0"
"14:31:38:418","52061558903698"," 179.317","  98.786"," 3093"," 3000"," 3100","3100","  60.380","10486.032","2912.787","  56.729","9846.913","2735.254"," 91","0","   3.916"," 645.776"," 179.382","  45.000","    0"
"14:31:38:519","52061789870188"," 179.418","  97.654"," 3093"," 3000"," 3100","3100","  60.443","10492.091","2914.470","  57.325","9852.659","2736.850"," 92","0","   3.861"," 646.163"," 179.490","  45.000","    0"
"14:31:38:619","52062020507650"," 179.518","  96.869"," 3093"," 3000"," 3100","3100","  61.020","10498.199","2916.166","  57.667","9858.432","2738.453"," 92","0","   3.885"," 646.552"," 179.598","  45.000","    0"
"14:31:38:719","52062251102412"," 179.618","  98.192"," 3093"," 3000"," 3100","3100","  60.157","10504.220","2917.839","  56.738","9864.111","2740.031"," 91","0","   3.851"," 646.937"," 179.705","  45.000","    0"
"14:31:38:819","52062481838648"," 179.718","  93.691"," 3093"," 3000"," 3100","3100","  59.421","10510.171","2919.492","  54.812","9869.600","2741.556"," 92","0","   3.923"," 647.330"," 179.814","  45.000","    0"
"14:31:38:919","52062712714020"," 179.818","  93.967"," 3093"," 3000"," 3100","3100","  60.533","10516.237","2921.177","  57.324","9875.344","2743.151"," 92","0","   3.853"," 647.716"," 179.921","  45.000","    0"
"14:31:39:019","52062943496428"," 179.918","  97.578"," 3093"," 3000"," 3100","3100","  61.155","10522.362","2922.878","  57.898","9881.144","2744.762"," 93","0","   3.870"," 648.104"," 180.029","  45.000","    0"
"14:31:39:120","52063174417524"," 180.019","  98.229"," 3093"," 3000"," 3100","3100","  61.212","10528.497","2924.583","  58.001","9886.957","2746.377"," 93","0","   3.883"," 648.493"," 180.137","  45.000","    0"
"14:31:39:220","52063405341580"," 180.119","  97.063"," 3093"," 3000"," 3100","3100","  60.841","10534.595","2926.276","  57.175","9892.687","2747.969"," 92","0","   3.817"," 648.876"," 180.243","  45.000","    0"
"14:31:39:320","52063636092508"," 180.219","  96.742"," 3093"," 3000"," 3100","3100","  60.747","10540.679","2927.966","  56.182","9898.314","2749.532"," 91","0","   3.906"," 649.267"," 180.352","  45.000","  350"
"14:31:39:420","52063866923256"," 180.319","  93.718"," 3093"," 3000"," 3100","3100","  59.876","10546.678","2929.633","  56.579","9903.982","2751.106"," 92","0","   3.825"," 649.650"," 180.458","  45.000","    0"
"14:31:39:520","52064097919488"," 180.419","  94.943"," 3093"," 3000"," 3100","3100","  60.830","10552.777","2931.327","  57.626","9909.760","2752.711"," 92","0","   3.847"," 650.036"," 180.566","  45.000","    0"
"14:31:39:621","52064328690208"," 180.520","  95.158"," 3093"," 3000"," 3100","3100","  60.571","10558.843","2933.012","  57.171","9915.486","2754.302"," 92","0","   3.872"," 650.424"," 180.673","  45.000","    0"
"14:31:39:721","52064559217804"," 180.620","  98.214"," 3093"," 3000"," 3100","3100","  59.975","10564.844","2934.679","  56.490","9921.138","2755.872"," 92","0","   3.857"," 650.810"," 180.780","  45.000","    0"
"14:31:39:821","52064789828438"," 180.720","  97.587"," 3093"," 3000"," 3100","3100","  59.045","10570.754","2936.321","  55.007","9926.644","2757.401"," 91","0","   3.880"," 651.198"," 180.888","  45.000","    0"
"14:31:39:921","52065020706644"," 180.820","  95.661"," 3093"," 3000"," 3100","3100","  59.991","10576.766","2937.990","  56.693","9932.325","2758.979"," 92","0","   3.850"," 651.584"," 180.996","  45.000","    0"
"14:31:40:021","52065251465320"," 180.920","  98.090"," 3093"," 3000"," 3100","3100","  60.723","10582.847","2939.680","  56.587","9937.993","2760.553"," 91","0","   3.921"," 651.977"," 181.105","  45.000","    0"
"14:31:40:121","52065482188004"," 181.020","  97.759"," 3093"," 3000"," 3100","3100","  60.789","10588.935","2941.371","  57.425","9943.743","2762.151"," 92","0","   3.853"," 652.362"," 181.212","  45.000","    0"
"14:31:40:221","52065712971972"," 181.120","  95.410"," 3093"," 3000"," 3100","3100","  59.548","10594.900","2943.028","  55.643","9949.317","2763.699"," 91","0","   3.889"," 652.752"," 181.320","  45.000","    0"
"14:31:40:321","52065943549280"," 181.221","  97.983"," 3093"," 3000"," 3100","3100","  61.175","10601.022","2944.728","  57.834","9955.104","2765.307"," 93","0","   3.850"," 653.137"," 181.427","  45.000","    0"
"14:31:40:422","52066174285556"," 181.321","  96.550"," 3093"," 3000"," 3100","3100","  60.457","10607.076","2946.410","  56.756","9960.788","2766.886"," 91","0","   3.852"," 653.523"," 181.534","  45.000","    0"
"14:31:40:522","52066404981348"," 181.421","  97.257"," 3093"," 3000"," 3100","3100","  60.830","10613.167","2948.102","  57.428","9966.539","2768.483"," 91","0","   3.807"," 653.904"," 181.640","  45.000","    0"
"14:31:40:622","52066635714724"," 181.521","  99.419"," 3093"," 3000"," 3100","3100","  62.872","10619.463","2949.851","  59.124","9972.459","2770.128"," 93","0","   3.862"," 654.291"," 181.748","  45.000","    0"
"14:31:40:722","52066866223416"," 181.621","  97.583"," 3093"," 3000"," 3100","3100","  59.553","10625.422","2951.506","  55.833","9978.045","2771.679"," 92","0","   3.759"," 654.667"," 181.852","  45.000","    0"
"14:31:40:822","52067096940440"," 181.721","  95.799"," 3093"," 3000"," 3100","3100","  58.891","10631.319","2953.144","  54.853","9983.538","2773.205"," 92","0","   3.858"," 655.053"," 181.959","  45.000","    0"
"14:31:40:922","52067327472912"," 181.821","  93.949"," 3093"," 3000"," 3100","3100","  59.948","10637.317","2954.810","  56.516","9989.193","2774.776"," 92","0","   3.794"," 655.433"," 182.065","  45.000","    0"
"14:31:41:022","52067558327750"," 181.921","  97.511"," 3093"," 3000"," 3100","3100","  60.336","10643.363","2956.490","  56.875","9994.892","2776.359"," 92","0","   3.821"," 655.816"," 182.171","  45.000","    0"
"14:31:41:122","52067788896376"," 182.021","  98.009"," 3093"," 3000"," 3100","3100","  60.748","10649.442","2958.178","  57.341","10000.630","2777.953"," 91","0","   3.836"," 656.200"," 182.278","  45.000","    0"
"14:31:41:223","52068019748044"," 182.122","  98.109"," 3093"," 3000"," 3100","3100","  60.842","10655.538","2959.872","  57.364","10006.378","2779.549"," 91","0","   3.839"," 656.584"," 182.385","  45.000","    0"
"14:31:41:323","52068250717170"," 182.222","  99.362"," 3093"," 3000"," 3100","3100","  60.941","10661.647","2961.569","  57.133","10012.105","2781.140"," 91","0","   3.883"," 656.974"," 182.493","  45.000","    0"
"14:31:41:423","52068481190170"," 182.322","  97.995"," 3093"," 3000"," 3100","3100","  60.248","10667.674","2963.243","  56.689","10017.776","2782.716"," 92","0","   3.885"," 657.362"," 182.601","  45.000","    0"
"14:31:41:523","52068711797988"," 182.422","  98.024"," 3093"," 3000"," 3100","3100","  60.778","10673.757","2964.933","  56.690","10023.450","2784.292"," 92","0","   3.927"," 657.755"," 182.710","  45.000","    0"
"14:31:41:623","52068942340878"," 182.522","  95.882"," 3093"," 3000"," 3100","3100","  60.780","10679.839","2966.622","  57.500","10029.204","2785.890"," 92","0","   3.859"," 658.141"," 182.817","  45.000","    0"
"14:31:41:723","52069172914528"," 182.622","  95.130"," 3093"," 3000"," 3100","3100","  60.109","10685.854","2968.293","  56.836","10034.891","2787.470"," 93","0","   3.811"," 658.523"," 182.923","  45.000","    0"
"14:31:41:823","52069403444960"," 182.722","  96.706"," 3093"," 3000"," 3100","3100","  58.855","10691.743","2969.929","  54.821","10040.377","2788.993"," 91","0","   3.889"," 658.912"," 183.031","  45.000","    0"
"14:31:41:923","52069634075652"," 182.822","  98.451"," 3093"," 3000"," 3100","3100","  60.316","10697.781","2971.606","  56.816","10046.064","2790.573"," 92","0","   3.893"," 659.302"," 183.139","  45.000","    0"
"14:31:42:023","52069864655274"," 182.922","  98.335"," 3093"," 3000"," 3100","3100","  60.248","10703.810","2973.281","  56.693","10051.738","2792.149"," 92","0","   3.890"," 659.691"," 183.247","  45.000","    0"
"14:31:42:123","52070095357236"," 183.023","  97.180"," 3093"," 3000"," 3100","3100","  59.996","10709.818","2974.949","  56.461","10057.391","2793.720"," 92","0","   3.902"," 660.082"," 183.356","  45.000","    0"
"14:31:42:224","52070326294586"," 183.123","  98.364"," 3093"," 3000"," 3100","3100","  61.024","10715.934","2976.648","  57.611","10063.166","2795.324"," 92","0","   3.848"," 660.467"," 183.463","  45.000","    0"
"14:31:42:324","52070557292922"," 183.223","  98.223"," 3093"," 3000"," 3100","3100","  60.545","10722.005","2978.335","  56.311","10068.811","2796.892"," 91","0","   3.897"," 660.858"," 183.572","  45.000","    0"
"14:31:42:424","52070787894776"," 183.323","  95.259"," 3093"," 3000"," 3100","3100","  61.088","10728.119","2980.033","  57.793","10074.596","2798.499"," 92","0","   3.912"," 661.250"," 183.680","  45.000","    0"
"14:31:42:524","52071018709054"," 183.423","  98.427"," 3093"," 3000"," 3100","3100","  61.176","10734.247","2981.735","  57.899","10080.396","2800.110"," 92","0","   3.889"," 661.639"," 183.789","  45.000","    0"
"14:31:42:624","52071249284986"," 183.523","  98.522"," 3093"," 3000"," 3100","3100","  61.337","10740.386","2983.441","  58.011","10086.202","2801.723"," 92","0","   3.881"," 662.028"," 183.897","  45.000","    0"
"14:31:42:724","52071480086122"," 183.624","  98.897"," 3093"," 3000"," 3100","3100","  60.969","10746.493","2985.137","  57.674","10091.979","2803.328"," 92","0","   3.800"," 662.408"," 184.002","  45.000","  350"
"14:31:42:824","52071710518126"," 183.724","  93.768"," 3093"," 3000"," 3100","3100","  59.081","10752.402","2986.778","  54.877","10097.468","2804.852"," 91","0","   3.905"," 662.799"," 184.111","  45.000","    0"
"14:31:42:925","52071941373372"," 183.824","  98.410"," 3093"," 3000"," 3100","3100","  61.330","10758.547","2988.485","  58.023","10103.281","2806.467"," 93","0","   3.841"," 663.184"," 184.218","  45.000","    0"
"14:31:43:025","52072172301526"," 183.924","  95.948"," 3091"," 3000"," 3100","3098","  60.444","10764.606","2990.168","  56.296","10108.924","2808.034"," 91","0","   3.883"," 663.573"," 184.326","  45.000","    0"
"14:31:43:125","52072402888010"," 184.024","  98.150"," 3093"," 3000"," 3100","3100","  60.327","10770.643","2991.845","  56.739","10114.602","2809.612"," 91","0","   3.874"," 663.961"," 184.434","  45.000","    0"
"14:31:43:225","52072633387784"," 184.124","  95.194"," 3093"," 3000"," 3100","3100","  60.143","10776.660","2993.517","  56.698","10120.275","2811.187"," 91","0","   3.851"," 664.346"," 184.541","  45.000","    0"
"14:31:43:325","52072864333118"," 184.224","  96.136"," 3093"," 3000"," 3100","3100","  59.900","10782.664","2995.185","  56.436","10125.932","2812.759"," 92","0","   3.860"," 664.733"," 184.648","  45.000","    0"
"14:31:43:425","52073095164860"," 184.325","  98.615"," 3093"," 3000"," 3100","3100","  60.092","10788.685","2996.857","  56.373","10131.579","2814.328"," 91","0","   3.918"," 665.125"," 184.757","  45.000","    0"
"14:31:43:526","52073325682570"," 184.425","  98.214"," 3093"," 3000"," 3100","3100","  60.656","10794.754","2998.543","  57.241","10137.307","2815.918"," 92","0","   3.874"," 665.513"," 184.865","  45.000","    0"
"14:31:43:626","52073556133368"," 184.525","  97.840"," 3093"," 3000"," 3100","3100","  60.779","10800.833","3000.231","  57.288","10143.037","2817.510"," 92","0","   3.869"," 665.900"," 184.972","  45.000","    0"
"14:31:43:726","52073786792662"," 184.625","  97.679"," 3093"," 3000"," 3100","3100","  59.945","10806.834","3001.898","  56.444","10148.687","2819.080"," 92","0","   3.793"," 666.280"," 185.078","  45.000","    0"
"14:31:43:826","52074017545728"," 184.725","  94.749"," 3093"," 3000"," 3100","3100","  59.334","10812.777","3003.549","  55.522","10154.248","2820.624"," 92","0","   3.831"," 666.663"," 185.184","  45.000","    0"
"14:31:43:926","52074248514298"," 184.825","  96.612"," 3093"," 3000"," 3100","3100","  60.303","10818.822","3005.228","  55.992","10159.861","2822.184"," 92","0","   3.861"," 667.050"," 185.292","  45.000","  350"
"14:31:44:026","52074479405600"," 184.925","  98.456"," 3093"," 3000"," 3100","3100","  59.933","10824.828","3006.897","  56.523","10165.526","2823.757"," 92","0","   3.878"," 667.439"," 185.400","  45.000","    0"
"14:31:44:127","52074710433956"," 185.026","  97.752"," 3093"," 3000"," 3100","3100","  60.461","10830.890","3008.581","  57.202","10171.261","2825.350"," 92","0","   3.846"," 667.825"," 185.507","  45.000","  350"
"14:31:44:227","52074940848758"," 185.126","  98.263"," 3093"," 3000"," 3100","3100","  60.432","10836.934","3010.259","  56.815","10176.943","2826.929"," 91","0","   3.859"," 668.211"," 185.614","  45.000","    0"
"14:31:44:327","52075171351448"," 185.226","  99.339"," 3093"," 3000"," 3100","3100","  60.749","10843.012","3011.948","  56.820","10182.628","2828.508"," 92","0","   3.881"," 668.599"," 185.722","  45.000","  350"
"14:31:44:427","52075402316178"," 185.326","  98.195"," 3093"," 3000"," 3100","3100","  60.138","10849.040","3013.622","  56.632","10188.305","2830.085"," 92","0","   3.866"," 668.986"," 185.830","  45.000","    0"
"14:31:44:527","52075632835026"," 185.426","  97.282"," 3093"," 3000"," 3100","3100","  60.302","10855.073","3015.298","  56.794","10193.987","2831.663"," 92","0","   3.873"," 669.374"," 185.937","  45.000","    0"
"14:31:44:627","52075863778428"," 185.526","  94.725"," 3093"," 3000"," 3100","3100","  61.491","10861.237","3017.010","  57.666","10199.767","2833.269"," 92","0","   3.836"," 669.758"," 186.044","  45.000","    0"
"14:31:44:727","52076094433414"," 185.626","  97.744"," 3093"," 3000"," 3100","3100","  60.240","10867.268","3018.685","  56.866","10205.460","2834.850"," 91","0","   3.784"," 670.137"," 186.149","  45.000","  350"
"14:31:44:827","52076325205994"," 185.726","  96.459"," 3093"," 3000"," 3100","3100","  59.883","10873.266","3020.352","  56.230","10211.092","2836.415"," 92","0","   3.820"," 670.520"," 186.255","  45.000","    0"
"14:31:44:928","52076555955510"," 185.827","  97.384"," 3093"," 3000"," 3100","3100","  61.210","10879.396","3022.054","  58.022","10216.903","2838.029"," 92","0","   3.823"," 670.903"," 186.362","  45.000","    0"
"14:31:45:028","52076786604296"," 185.927","  98.013"," 3093"," 3000"," 3100","3100","  61.104","10885.513","3023.754","  57.678","10222.677","2839.633"," 92","0","   3.839"," 671.287"," 186.469","  45.000","    0"
"14:31:45:128","52077017412634"," 186.027","  98.907"," 3093"," 3000"," 3100","3100","  60.280","10891.552","3025.431","  56.922","10228.380","2841.217"," 91","0","   3.912"," 671.679"," 186.577","  45.000","    0"
"14:31:45:228","52077248065784"," 186.127","  98.069"," 3093"," 3000"," 3100","3100","  60.995","10897.658","3027.127","  57.080","10234.094","2842.804"," 92","0","   3.946"," 672.074"," 186.687","  45.000","    0"
"14:31:45:328","52077478630752"," 186.227","  97.071"," 3093"," 3000"," 3100","3100","  60.003","10903.662","3028.795","  56.685","10239.767","2844.380"," 92","0","   3.938"," 672.468"," 186.797","  45.000","    0"
"14:31:45:428","52077709177086"," 186.327","  95.848"," 3093"," 3000"," 3100","3100","  59.671","10909.633","3030.454","  56.296","10245.400","2845.944"," 92","0","   3.929"," 672.861"," 186.906","  45.000","    0"
"14:31:45:528","52077940114474"," 186.427","  98.340"," 3093"," 3000"," 3100","3100","  59.855","10915.633","3032.120","  56.431","10251.056","2847.516"," 92","0","   3.914"," 673.253"," 187.015","  45.000","    0"
"14:31:45:628","52078170690166"," 186.527","  98.387"," 3128"," 3100"," 3200","3134","  61.324","10921.770","3033.825","  57.894","10256.850","2849.125"," 93","0","   3.869"," 673.640"," 187.122","  45.000","    0"
"14:31:45:728","52078401224856"," 186.628","  97.541"," 3193"," 3100"," 3200","3200","  63.626","10928.136","3035.593","  59.922","10262.846","2850.790"," 92","0","   3.905"," 674.031"," 187.231","  45.000","    0"
"14:31:45:828","52078631691636"," 186.728","  99.218"," 3193"," 3100"," 3200","3200","  64.575","10934.595","3037.388","  60.575","10268.905","2852.474"," 94","0","   3.914"," 674.423"," 187.340","  45.000","    0"
"14:31:45:929","52078862545920"," 186.828","  98.303"," 3193"," 3100"," 3200","3200","  65.521","10941.160","3039.211","  61.859","10275.103","2854.195"," 93","0","   3.855"," 674.809"," 187.447","  45.000","    0"
"14:31:46:029","52079093150346"," 186.928","  96.520"," 3193"," 3100"," 3200","3200","  65.225","10947.689","3041.025","  61.734","10281.282","2855.912"," 93","0","   3.883"," 675.197"," 187.555","  45.000","    0"
"14:31:46:129","52079324037024"," 187.028","  97.431"," 3193"," 3100"," 3200","3200","  66.472","10954.350","3042.875","  62.461","10287.541","2857.650"," 94","0","   3.899"," 675.588"," 187.663","  45.000","    0"
"14:31:46:229","52079554903296"," 187.128","  97.998"," 3193"," 3100"," 3200","3200","  65.929","10960.956","3044.710","  62.523","10293.806","2859.391"," 94","0","   3.828"," 675.972"," 187.770","  45.000","    0"
"14:31:46:329","52079785424380"," 187.228","  98.402"," 3193"," 3100"," 3200","3200","  65.944","10967.554","3046.543","  62.257","10300.035","2861.121"," 94","0","   3.839"," 676.356"," 187.877","  45.000","    0"
"14:31:46:429","52080016216590"," 187.329","  95.582"," 3192"," 3100"," 3200","3200","  63.740","10973.939","3048.316","  59.833","10306.028","2862.786"," 93","0","   3.851"," 676.742"," 187.984","  45.000","    0"
"14:31:46:529","52080246754104"," 187.429","  98.387"," 3193"," 3100"," 3200","3200","  65.784","10980.521","3050.145","  62.210","10312.253","2864.515"," 93","0","   3.880"," 677.130"," 188.092","  45.000","    0"
"14:31:46:630","52080477391816"," 187.529","  98.824"," 3193"," 3100"," 3200","3200","  67.068","10987.235","3052.010","  63.826","10318.642","2866.290"," 94","0","   3.841"," 677.514"," 188.198","  45.000","    0"
"14:31:46:730","52080707957790"," 187.629","  98.040"," 3193"," 3100"," 3200","3200","  65.200","10993.760","3053.822","  61.819","10324.829","2868.008"," 94","0","   3.792"," 677.894"," 188.304","  45.000","    0"
"14:31:46:830","52080938699956"," 187.729","  97.870"," 3193"," 3100"," 3200","3200","  64.022","11000.171","3055.603","  59.960","10330.834","2869.676"," 94","0","   3.863"," 678.281"," 188.411","  45.000","    0"
"14:31:46:930","52081169549910"," 187.829","  97.286"," 3193"," 3100"," 3200","3200","  67.047","11006.889","3057.469","  63.079","10337.154","2871.432"," 94","0","   3.850"," 678.666"," 188.518","  45.000","    0"
"14:31:47:030","52081400210480"," 187.929","  98.085"," 3193"," 3100"," 3200","3200","  65.236","11013.420","3059.283","  61.565","10343.317","2873.144"," 93","0","   3.862"," 679.053"," 188.626","  45.000","    0"
"14:31:47:130","52081630920910"," 188.029","  95.166"," 3193"," 3100"," 3200","3200","  64.811","11019.910","3061.086","  61.260","10349.451","2874.848"," 94","0","   3.860"," 679.440"," 188.733","  45.000","    0"
"14:31:47:230","52081861514696"," 188.129","  97.876"," 3193"," 3100"," 3200","3200","  65.616","11026.477","3062.910","  62.130","10355.670","2876.575"," 93","0","   3.887"," 679.829"," 188.841","  45.000","    0"
"14:31:47:331","52082092401206"," 188.230","  98.223"," 3193"," 3100"," 3200","3200","  65.281","11033.019","3064.727","  61.821","10361.865","2878.296"," 92","0","   3.882"," 680.218"," 188.949","  45.000","    0"
"14:31:47:432","52082325120428"," 188.331","  99.393"," 3193"," 3100"," 3200","3200","  66.571","11039.743","3066.595","  62.740","10368.202","2880.056"," 93","0","   3.937"," 680.615"," 189.060","  45.000","  350"
"14:31:47:532","52082555861862"," 188.431","  97.895"," 3193"," 3100"," 3200","3200","  65.635","11046.316","3068.421","  62.237","10374.435","2881.787"," 94","0","   3.848"," 681.001"," 189.167","  45.000","    0"
"14:31:47:632","52082786635256"," 188.531","  98.138"," 3193"," 3100"," 3200","3200","  66.975","11053.024","3070.285","  63.779","10380.823","2883.562"," 94","0","   3.835"," 681.385"," 189.274","  45.000","    0"
"14:31:47:732","52083017608104"," 188.631","  96.202"," 3193"," 3100"," 3200","3200","  64.977","11059.538","3072.094","  60.799","10386.918","2885.255"," 92","0","   3.810"," 681.767"," 189.380","  45.000","  350"
"14:31:47:832","52083248269104"," 188.731","  98.225"," 3193"," 3100"," 3200","3200","  64.236","11065.969","3073.880","  60.272","10392.952","2886.931"," 93","0","   3.860"," 682.153"," 189.487","  45.000","    0"
"14:31:47:932","52083479168450"," 188.832","  97.666"," 3193"," 3100"," 3200","3200","  65.508","11072.534","3075.704","  62.110","10399.177","2888.660"," 93","0","   3.842"," 682.538"," 189.594","  45.000","  350"
"14:31:48:032","52083709659706"," 188.932","  97.000"," 3193"," 3100"," 3200","3200","  66.029","11079.140","3077.539","  62.514","10405.430","2890.397"," 94","0","   3.818"," 682.920"," 189.700","  45.000","    0"
"14:31:48:133","52083940181072"," 189.032","  97.627"," 3193"," 3100"," 3200","3200","  65.279","11085.671","3079.353","  61.380","10411.572","2892.103"," 93","0","   3.866"," 683.307"," 189.808","  45.000","    0"
"14:31:48:233","52084171108562"," 189.132","  95.058"," 3193"," 3100"," 3200","3200","  64.577","11092.144","3081.151","  61.214","10417.707","2893.808"," 93","0","   3.869"," 683.695"," 189.915","  45.000","    0"
"14:31:48:333","52084402004260"," 189.232","  98.183"," 3193"," 3100"," 3200","3200","  65.473","11098.705","3082.974","  61.422","10423.863","2895.517"," 92","0","   3.924"," 684.088"," 190.024","  45.000","    0"
"14:31:48:433","52084632640168"," 189.332","  97.685"," 3193"," 3100"," 3200","3200","  65.418","11105.253","3084.793","  61.826","10430.052","2897.237"," 93","0","   3.876"," 684.476"," 190.132","  45.000","    0"
"14:31:48:533","52084863379904"," 189.432","  98.349"," 3099"," 3000"," 3100","3105","  60.295","11111.292","3086.470","  56.560","10435.716","2898.810"," 92","0","   3.890"," 684.866"," 190.240","  45.000","    0"
