id; system time; board height; board width; game type; win length; gravity; turns played; initial board; final board; result; errors; full duration; pointsP1; expansion strategy of Player 1; cache of Player 1; watched nodes of Player 1; evaluation stategy of Player 1; exit condition type of Player 1; exit condition of Player 1; total Speed of Player 1; expansion strategy of Player 2; cache of Player 2; watched nodes of Player 2; evaluation stategy of Player 2; exit condition type of Player 2; exit condition of Player 2; total Speed of Player 2; 
673; 14:58:52:491; 8; 8; ChessGameState;  - ;  - ; 99; rp____PR|np____PN|bp____PB|qp____PQ|kp____PK|bp____PB|np____PN|rp____PR|; ___p____|___b____|________|__p_____|____k___|__n_____|__p_q___|r_p_K___|; Won: P1;  - ; 4480400000; 1.0; BreadthFirstTreeTraversalIterator; CompressedKnownReactionPath; 799; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@38ea8a2e; OrExitCondition; or(TurnCountingCondition{turnsLookedForward=2}CompareToOtherOptionsByHeuristicExitCondition{difference=0.2}); 4401963000; DepthFirstTreeTraversalIterator; CompressedKnownReactionPath; 49; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@6d1c1e00; OrExitCondition; or(TurnCountingCondition{turnsLookedForward=1}CompareToOtherOptionsByHeuristicExitCondition{difference=0.2}); 113198000; 
674; 14:58:52:875; 8; 8; ChessGameState;  - ;  - ; 35; rp____PR|np____PN|bp____PB|qp____PQ|kp____PK|bp____PB|np____PN|rp____PR|; rp__P__R|____P___|___p____|______q_|kp___P__|_p_____K|___p_PbN|rpn___P_|; Won: P1;  - ; 1528459000; 1.0; BreadthFirstTreeTraversalIterator; CompressedKnownReactionPath; 126; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@3bc6be05; OrExitCondition; or(TurnCountingCondition{turnsLookedForward=2}CompareToOtherOptionsByHeuristicExitCondition{difference=0.2}); 1104316000; DepthFirstTreeTraversalIterator; CompressedKnownReactionPath; 17; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@b4f2605; OrExitCondition; or(CompareToOtherOptionsByHeuristicExitCondition{difference=0.25}TurnCountingCondition{turnsLookedForward=1}); 435461000; 
675; 14:58:54:742; 8; 8; ChessGameState;  - ;  - ; 457; rp____PR|np____PN|bp____PB|qp____PQ|kp____PK|bp____PB|np____PN|rp____PR|; _____R__|___K____|________|________|_______k|________|________|_______b|; Running;  timed out ; 60273094000; -0.04999999999999999; DepthFirstTreeTraversalIterator; CompressedKnownReactionPath; 3551; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@70759836; OrExitCondition; or(CompareToOtherOptionsByHeuristicExitCondition{difference=0.15000000000000002}TurnCountingCondition{turnsLookedForward=2}); 53743394000; BreadthFirstTreeTraversalIterator; CompressedKnownReactionPath; 2314; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@65ea57eb; OrExitCondition; or(TurnCountingCondition{turnsLookedForward=2}CompareToOtherOptionsByHeuristicExitCondition{difference=0.15000000000000002}); 7016480000; 
676; 14:58:55:460; 8; 8; ChessGameState;  - ;  - ; 157; rp____PR|np____PN|bp____PB|qp____PQ|kp____PK|bp____PB|np____PN|rp____PR|; __np_k__|________|________|____p___|__p_____|______b_|_____r__|_r_K____|; Won: P1;  - ; 38646033000; 1.0; BreadthFirstTreeTraversalIterator; CompressedKnownReactionPath; 2062; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@2b0de915; OrExitCondition; or(CompareToOtherOptionsByHeuristicExitCondition{difference=0.2}TurnCountingCondition{turnsLookedForward=2}); 38276908000; BreadthFirstTreeTraversalIterator; CompressedKnownReactionPath; 78; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@d416ca7; OrExitCondition; or(CompareToOtherOptionsByHeuristicExitCondition{difference=0.0}TurnCountingCondition{turnsLookedForward=1}); 685068000; 
677; 14:58:56:478; 8; 8; ChessGameState;  - ;  - ; 2056; rp____PR|np____PN|bp____PB|qp____PQ|kp____PK|bp____PB|np____PN|rp____PR|; ____k___|___r____|________|________|________|________|________|____K___|; Running;  timed out ; 60001541000; 0.125; DepthFirstTreeTraversalIterator; CompressedKnownReactionPath; 21295; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@6f2c3d93; OrExitCondition; or(TurnCountingCondition{turnsLookedForward=2}CompareToOtherOptionsByHeuristicExitCondition{difference=0.15000000000000002}); 42746913000; DepthFirstTreeTraversalIterator; CompressedKnownReactionPath; 7083; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@3b7b509a; OrExitCondition; or(TurnCountingCondition{turnsLookedForward=2}CompareToOtherOptionsByHeuristicExitCondition{difference=0.15000000000000002}); 17676393000; 
678; 14:58:57:407; 8; 8; ChessGameState;  - ;  - ; 172; rp____PR|np____PN|bp____PB|qp____PQ|kp____PK|bp____PB|np____PN|rp____PR|; ___B____|________|___P_K__|________|________|________|______R_|_k__P___|; Running;  timed out ; 60097613000; -0.25; DepthFirstTreeTraversalIterator; CompressedKnownReactionPath; 818; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@6886f10d; OrExitCondition; or(CompareToOtherOptionsByHeuristicExitCondition{difference=0.15000000000000002}TurnCountingCondition{turnsLookedForward=2}); 24323076000; BreadthFirstTreeTraversalIterator; CompressedKnownReactionPath; 1930; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@6ef27b91; OrExitCondition; or(CompareToOtherOptionsByHeuristicExitCondition{difference=0.2}TurnCountingCondition{turnsLookedForward=2}); 36270432000; 
679; 14:58:57:781; 8; 8; ChessGameState;  - ;  - ; 117; rp____PR|np____PN|bp____PB|qp____PQ|kp____PK|bp____PB|np____PN|rp____PR|; ____p___|___p____|_k__p___|_____p__|_p_n__r_|b__p____|__p_q___|rp___K__|; Won: P1;  - ; 26263461000; 1.0; BreadthFirstTreeTraversalIterator; CompressedKnownReactionPath; 1515; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@6345ece9; OrExitCondition; or(CompareToOtherOptionsByHeuristicExitCondition{difference=0.2}TurnCountingCondition{turnsLookedForward=2}); 25889325000; BreadthFirstTreeTraversalIterator; CompressedKnownReactionPath; 58; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@6bafa3de; OrExitCondition; or(CompareToOtherOptionsByHeuristicExitCondition{difference=0.05}TurnCountingCondition{turnsLookedForward=1}); 593976000; 
680; 14:58:59:485; 8; 8; ChessGameState;  - ;  - ; 950; rp____PR|np____PN|bp____PB|qp____PQ|kp____PK|bp____PB|np____PN|rp____PR|; ________|________|_______n|__q_____|___k____|_____K__|________|________|; Running;  timed out ; 60012828000; 0.2; DepthFirstTreeTraversalIterator; CompressedKnownReactionPath; 14944; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@51ae22a2; OrExitCondition; or(TurnCountingCondition{turnsLookedForward=2}CompareToOtherOptionsByHeuristicExitCondition{difference=0.15000000000000002}); 48066130000; DepthFirstTreeTraversalIterator; CompressedKnownReactionPath; 3186; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@20da03e0; OrExitCondition; or(TurnCountingCondition{turnsLookedForward=2}CompareToOtherOptionsByHeuristicExitCondition{difference=0.2}); 12415800000; 
681; 14:59:00:414; 8; 8; ChessGameState;  - ;  - ; 70; rp____PR|np____PN|bp____PB|qp____PQ|kp____PK|bp____PB|np____PN|rp____PR|; ____P__R|________|N__NP___|_____BB_|_Q___P__|__k_p_K_|_____P__|R_______|; Won: P2;  - ; 7350898000; -1.0; BreadthFirstTreeTraversalIterator; CompressedKnownReactionPath; 642; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@572afff1; OrExitCondition; or(TurnCountingCondition{turnsLookedForward=2}CompareToOtherOptionsByHeuristicExitCondition{difference=0.2}); 3872907000; DepthFirstTreeTraversalIterator; CompressedKnownReactionPath; 1373; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@4f58042e; TurnCountingCondition; TurnCountingCondition{turnsLookedForward=2}; 3538934000; 
682; 14:59:02:687; 8; 8; ChessGameState;  - ;  - ; 3508; rp____PR|np____PN|bp____PB|qp____PQ|kp____PK|bp____PB|np____PN|rp____PR|; ________|________|________|________|__k_____|________|_____K__|________|; Tie;  - ; 54525198000; 0.0; BreadthFirstTreeTraversalIterator; CompressedKnownReactionPath; 30417; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@6556a4df; OrExitCondition; or(TurnCountingCondition{turnsLookedForward=2}CompareToOtherOptionsByHeuristicExitCondition{difference=0.2}); 54052591000; BreadthFirstTreeTraversalIterator; CompressedKnownReactionPath; 1754; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@2f32dac3; TurnCountingCondition; TurnCountingCondition{turnsLookedForward=1}; 808413000; 
